episode,name,line
09x01,Unknown,"Kids, Barney and Robin's wedding turned out to be a life-changing weekend for all of us. Well, not just us."
09x01,Unknown,"One ticket to Farhampton, please."
09x01,Unknown,But I'll get to that.
09x01,Unknown,(horn honks)
09x01,Unknown,Who are you honking at? You.
09x01,Unknown,You're going 40 in a 65.
09x01,Unknown,"Pick it up, Grandma!"
09x01,Unknown,"Look, I'm happy to rock it up into the 50s, but I'm gonna need a hand... or two."
09x01,Unknown,"Oh, no. Not the driving gloves."
09x01,Unknown,"In 99.9% of highway accidents, the driver was not wearing gloves."
09x01,Unknown,Because they're stupid.
09x01,Unknown,They don't help you drive better.
09x01,Unknown,That's why no one wears them.
09x01,Unknown,Then why is it called... the glove compartment?
09x01,Unknown,I am not having this argument again.
09x01,Unknown,"Now, as you know, a Mosby road trip is not only safe, but informative."
09x01,Unknown,Chiggedy-check it.
09x01,Manhattan to Farhampton,Lil' and Ted's Excellent Adventure?
09x01,Unknown,That baby's stuffed to the rings with fun facts about our unsung neighbor to the east-- Long Island.
09x01,Unknown,"For instance, just up ahead, the historic childhood home of Florian van Otterloop, the Dutch bucklesmith who revolutionized the belt industry."
09x01,Unknown,"Uh, fun story about that color-blind genius."
09x01,Unknown,When he... Please stop!
09x01,Unknown,"Well, I was just gonna slow down for pictures, but that level of enthusiasm can't go unrewarded."
09x01,Unknown,♪ How I Met Your Mother 9x01 ♪
09x01,Unknown,The Locket
09x01,Unknown,"Original Air Date on September 23, 2013"
09x01,Unknown,(phone chimes)
09x01,Unknown,Hmm.
09x01,Unknown,"Oh, look at my little cousins in their flower girl dresses."
09x01,Unknown,"Aw, they'll look so cute next to the ring bear."
09x01,Unknown,Yeah.
09x01,Unknown,"Wait, you said ring"
09x01,Unknown,"bear-er,"
09x01,Unknown,right?
09x01,Unknown,Ring bear.
09x01,Unknown,Ring
09x01,Unknown,bear-er.
09x01,Unknown,Ring bear.
09x01,Unknown,Are you planning some crazy stunt with a dangerous wild animal at our wedding?
09x01,Unknown,(phone chirps)
09x01,Unknown,Because...
09x01,Unknown,"Oh, oh, sorry, sorry, sorry, sorry."
09x01,Unknown,"Oh, boy."
09x01,Unknown,"My brother wants to know what time he ""goes on"" at the reception."
09x01,Unknown,What does that mean?
09x01,Unknown,"Every wedding he attends, James insists on... performing."
09x01,Unknown,♪ Islands in the stream
09x01,Unknown,♪ That is what we are
09x01,Unknown,♪ No one in between...
09x01,Unknown,So? What do you got against K-Rodge?
09x01,Unknown,Everybody loves
09x01,Unknown,The Gambler.
09x01,Unknown,Wait for it.
09x01,Unknown,♪ How can we be wrong?
09x01,Unknown,♪ Sail away with me to another world ♪
09x01,Unknown,"♪ And we rely on each other, uh-huh! ♪"
09x01,Unknown,That is nothing.
09x01,Unknown,"I have invited Scherbatskys from all over Canada, and they are Canuckin' nuts."
09x01,Unknown,Like my cousin Ruth from the Yukon.
09x01,Unknown,"I don't like to encourage Canadian stereotypes, but that woman practically rides a moose."
09x01,Unknown,(laughs)
09x01,Unknown,Does she actually ride a moose?
09x01,Unknown,Yeah.
09x01,Unknown,"And, uh, I'm worried she'll bring it to the wedding."
09x01,Unknown,She and the moose are... very close.
09x01,Unknown,Whoa.
09x01,Unknown,"Every wedding's got a wild card, but we've invited a whole set."
09x01,Unknown,"(accordion playin,[/i] gWedding March"")"
09x01,Unknown,Someone is gonna ruin this wedding.
09x01,Unknown,It's just a question of... who.
09x01,Unknown,I'm gonna ruin this wedding!
09x01,Unknown,My wife is gonna k*ll me!
09x01,PILOT,Flight attendants prepare for departure.
09x01,Unknown,"We were gonna move to Italy for her dream job, so I brought my son here to Minnesota to see my mom before we left."
09x01,Unknown,"And then I got offered a job as a judge in New York City, which is my dream."
09x01,Unknown,But that'll totally destroy her dream!
09x01,Unknown,You are destroying a lot of dreams right now.
09x01,Unknown,(phone chimes)
09x01,Unknown,(chuckles)
09x01,Unknown,Wait.
09x01,Unknown,If I got this...
09x01,Unknown,(phone chimes)
09x01,Unknown,(sighs)
09x01,Unknown,Aren't you gonna check that?
09x01,Unknown,No.
09x01,Unknown,It-It's just another obnoxious update from Marshall's mom.
09x01,Unknown,"She's been posting these ""cute"" baby pics of Marvin, but it's all just propaganda."
09x01,Unknown,"First, it wa,[/i] sDon't move to Italy."""
09x01,Unknown,Followed by an extremely subtle
09x01,Unknown,guilt trip.
09x01,Unknown,"And then, randomly preachy."
09x01,Unknown,"Nah, not looking."
09x01,Unknown,It's just gonna piss me off.
09x01,Unknown,Why are we exiting again?
09x01,Unknown,"Well, if you turn in your binder to the section labele,[/i] dMennonite Windmills..."""
09x01,Unknown,Get back on the expressway now.
09x01,Unknown,(scoffs)
09x01,Unknown,The expressway's for gloveless amateurs.
09x01,Unknown,I'm done.
09x01,Unknown,There's a train station coming up; just drop me off.
09x01,Unknown,"Okay, but some newfangled train's not gonna stop at the 40-foot-tall butter churn in Ronkonkoma!"
09x01,Unknown,"Yes, but unlike any of your 18th-century stops, at least the train will have a 21st-century toilet!"
09x01,Unknown,You're a 21st-century toilet!
09x01,Unknown,(gasps)
09x01,Unknown,Train now!
09x01,Unknown,Fine!
09x01,Unknown,"Okay, so far, I've got 12 wild cards, not counting the ring bear."
09x01,Unknown,Ring bear-er.
09x01,Unknown,"Oh, oh, here's another one."
09x01,Unknown,You know how I found out that I'm one-quarter Canadian but I've completely blocked that out because your nation's ridiculous and I'm awesome?
09x01,Unknown,Sure.
09x01,Unknown,"Well, turns out, I have a crazy cousin Mitch on that side of the family."
09x01,Unknown,That's funny.
09x01,Unknown,"I have a crazy cousin Mitch, too."
09x01,Unknown,But I guarantee he is crazier than yours.
09x01,Unknown,He built his own house from timber he chopped down from other people's houses.
09x01,Unknown,That's funny.
09x01,Unknown,My cousin Mitch is a lumberjack.
09x01,Unknown,Except mine has six fingers.
09x01,Unknown,On one hand or total?
09x01,Unknown,Total.
09x01,Unknown,Are truckers always beating him up?
09x01,Unknown,"Yes, because he has to..."
09x01,BOTH,...hitchhike with his middle finger.
09x01,Unknown,Wait.
09x01,Unknown,Is it possible that we're...
09x01,Unknown,Could... c-could... could we be...?
09x01,Unknown,Shh...
09x01,Unknown,"Ranjit, could you be a dear and pull over for a second?"
09x01,Unknown,Pulling over!
09x01,Unknown,(both chuckle weakly)
09x01,Unknown,(both retching)
09x01,Unknown,"All right, train."
09x01,Unknown,Let's show your critics you're not just a Dumpster on wheels full of drunk idiots.
09x01,CONDUCTOR,We're being held at this station until further notice.
09x01,Unknown,I got to sober up.
